,Team Name,Rank_private,Rank_public,Shake,Score_private,Score_public,Entries
133,天道常变异命数杳难寻,135,729,594,0.70337,0.6968,2
134,yasehide,137,369,232,0.70336,0.69886,2
135,hidekikimura,136,371,235,0.70336,0.69886,2
136,mhiro2,138,799,661,0.70334,0.69543,2
137,Corwin,139,911,772,0.70333,0.69279,2
138,Yuanhao,140,793,653,0.70333,0.69554,2
139,ZOZ,141,917,776,0.70331,0.6927,2
140,[ods.ai] Samoyed,142,478,336,0.7033,0.69757,2
141,nabe,143,253,110,0.7033,0.69978,2
142,yukiya,144,291,147,0.7033,0.69935,2
143,kiyomomo,145,68,-77,0.7033,0.70573,2
144,ShinnaMashiro,146,774,628,0.70329,0.69598,2
145,tomlzt,147,248,101,0.70327,0.6999,2
146,Mekaveli.,148,389,241,0.70324,0.69866,2
147,Serge,149,378,229,0.7032,0.69875,2
148,powerboy,151,748,597,0.70319,0.69642,2
149,linxi,150,92,-58,0.70319,0.70389,2
150,DONJYARAHOI,152,176,24,0.70318,0.70122,2
151,LU,153,807,654,0.70318,0.69533,2
152,Computer says no,154,184,30,0.70317,0.70108,2
153,Alexander Ryzhkov,155,372,217,0.70317,0.69883,2
154,Kazuhiro Matsui,156,836,680,0.70316,0.69477,2
155,Leon_MaoGW,157,6,-151,0.70316,0.7114,2
156,keijak,159,156,-3,0.70314,0.7017,2
157,Hello_Kitty,160,80,-80,0.70314,0.70551,2
158,autobeavor,158,705,547,0.70314,0.69715,2
159,babachan,161,131,-30,0.70312,0.70221,2
160,Aster,162,462,300,0.70312,0.69772,2
161,wckd,163,905,742,0.70311,0.69295,2
162,cloud,164,413,249,0.70311,0.69835,2
163,Justin Clifford Smith,165,149,-16,0.7031,0.70188,2
164,WenhangBao,166,119,-47,0.70307,0.70256,2
165,wzf19947,167,160,-7,0.70306,0.70167,2
166,Cactaceae,168,361,193,0.70304,0.699,2
167,RandomWeaselers,169,519,350,0.703,0.69741,2
168,tamanyan,173,418,245,0.70299,0.69834,2
169,Gary,172,414,242,0.70299,0.69834,2
170,He Yan,171,82,-89,0.70299,0.70539,2
171,NotSincere,170,415,245,0.70299,0.69834,2
172,kwigan,174,406,232,0.70298,0.69847,1
173,Gottun,175,98,-77,0.70298,0.70367,2
174,Dmitry Kulagin,176,216,40,0.70298,0.70031,2
175,copasta,177,403,226,0.70298,0.69853,2
176,Soonhwan Kwon,178,712,534,0.70297,0.69705,2
177,bestpredict,179,765,586,0.70297,0.6961,2
178,Mohammed Tayor,180,283,103,0.70296,0.69935,2
179,Nishant Kumar,181,308,127,0.70296,0.69924,2
180,RR,182,466,284,0.70294,0.69768,2
181,Chris Barcelon,185,797,612,0.70293,0.69545,2
182,Jason Huang,183,228,45,0.70293,0.7002,2
183,Tudouni,184,203,19,0.70293,0.70054,2
184,DavidGbodiOdaibo,187,435,248,0.70291,0.69812,2
185,Marcelo Tamashiro,188,811,623,0.7029,0.69525,2
186,Kushneryk Pavel,189,752,563,0.70289,0.69636,1
187,356B704,190,539,349,0.70287,0.69729,2
188,Kirill Simakov,191,232,41,0.70287,0.70016,2
189,Zehai,192,450,258,0.70285,0.69795,2
190,anjali89,193,694,501,0.70283,0.69723,1
191,Lunhua Zhang,194,699,505,0.70282,0.69718,2
192,Sergey Morzhov,197,172,-25,0.70278,0.70133,2
193,Learning Curve,196,703,507,0.70278,0.69715,2
194,dmdr,195,660,465,0.70278,0.69729,2
195,qianqian,198,210,12,0.70276,0.70047,1
196,Datador,199,496,297,0.70275,0.69744,2
197,NaveenReddy,200,679,479,0.70275,0.69729,2
198,Kunihiko Tanaka,201,306,105,0.70272,0.69933,1
199,Conquer,202,884,682,0.70272,0.69346,2
200,为了联盟！,203,231,28,0.70272,0.70017,2
201,Dmitriy Danevskiy,205,913,708,0.70271,0.69274,2
202,Qing Liu,204,190,-14,0.70271,0.701,2
203,CLASS_VISION_E,206,853,647,0.7027,0.69436,2
204,AhmetErdem,207,114,-93,0.7027,0.70268,2
205,g_wzrd,208,591,383,0.70269,0.69729,2
206,Mikhail Fadeev,209,266,57,0.70269,0.69941,2
207,Daniel [intive],210,170,-40,0.70268,0.70136,2
208,ThaiKeras Team,211,229,18,0.70267,0.70019,2
209,David Kagan,212,400,188,0.70267,0.69855,2
210,Zili Wang,213,874,661,0.70267,0.6939,2
211,Chuanle Dou,215,761,546,0.70263,0.69617,2
212,eligiblefor,214,757,543,0.70263,0.69625,2
213,Adel Valiullin,217,602,385,0.70262,0.69729,2
214,smota,218,523,305,0.70262,0.69734,2
215,Adish Jain,216,211,-5,0.70262,0.70046,2
216,TI,219,883,664,0.70259,0.69358,2
217,can,220,856,636,0.70258,0.69428,2
218,pigimaru,221,175,-46,0.70258,0.70123,2
219,ueonofei,222,51,-171,0.70257,0.70607,2
220,Kseniia Palin,224,259,35,0.70256,0.69972,2
221,Vladimir Osin,223,668,445,0.70256,0.69729,2
222,Igor,225,891,666,0.70254,0.69332,2
223,Akshay Nayak,226,438,212,0.70253,0.69809,2
224,123mutouren,240,85,-155,0.70252,0.70512,2
225,StamatisMastromichalakis,238,15,-223,0.70252,0.70934,2
226,Yu Suzuki,239,145,-94,0.70252,0.70215,2
227,will啊,235,139,-96,0.70252,0.70215,2
228,kenmatsu4,241,52,-189,0.70252,0.70602,2
229,SaoManu,242,137,-105,0.70252,0.70215,2
230,gavrand,237,141,-96,0.70252,0.70215,2
231,Möbius,230,136,-94,0.70252,0.70215,2
232,Zito,234,143,-91,0.70252,0.70215,2
233,Trian,229,846,617,0.70252,0.6945,2
234,Nuno Ferreira,233,45,-188,0.70252,0.70654,2
235,hamelg,228,401,173,0.70252,0.69855,2
236,Amber.yes,227,146,-81,0.70252,0.70215,2
237,Smilence,232,140,-92,0.70252,0.70215,2
238,QiangLiang,231,138,-93,0.70252,0.70215,2
239,CoonNFriends,243,420,177,0.70251,0.69833,2
240,takapy,244,714,470,0.70251,0.69703,1
241,U023,245,551,306,0.7025,0.69729,2
242,CVxTz,246,469,223,0.7025,0.69766,2
243,Gone in 60 seconds,247,759,512,0.7025,0.69621,2
244,funkyboy,248,691,443,0.70249,0.69727,2
245,TitusTitus,249,166,-83,0.70248,0.7014,2
246,XCLab,250,875,625,0.70247,0.69387,2
247,Tapioca J,251,576,325,0.70247,0.69729,2
248,Try_Try,253,837,584,0.70246,0.69477,2
249,DmitryS,252,249,-3,0.70246,0.69986,2
250,Phongdk,254,391,137,0.70245,0.69864,2
251,YudaiUshiro,255,522,267,0.70245,0.69737,2
252,demesgal,256,206,-50,0.70245,0.70051,2
253,TripleS,257,428,171,0.70244,0.69819,2
254,shimaw28,258,737,479,0.70244,0.69662,2
255,john159151,259,347,88,0.70244,0.6991,2
256,I can't,260,313,53,0.70244,0.69917,2
257,Roman Baldaev,261,411,150,0.70243,0.69839,2
258,Mike Kim,262,99,-163,0.70243,0.70365,2
259,Arrival,265,373,108,0.70242,0.69877,2
260,chmtomasz,264,193,-71,0.70242,0.70089,2
261,fn,263,240,-23,0.70242,0.70001,2
262,quora detoxication,266,227,-39,0.70241,0.70022,2
263,Xiao Qiao,267,375,108,0.7024,0.69876,2
264,Kirill Brodt (shad nsk),268,850,582,0.7024,0.6944,2
265,ravisu,269,264,-5,0.70239,0.69949,2
266,Przemyslaw Janik - intive,270,95,-175,0.70239,0.70382,2
267,Khakim Davurov,271,442,171,0.70238,0.69804,2
268,Abhilash Awasthi,272,339,67,0.70237,0.6991,2
269,demod,273,344,71,0.70236,0.6991,2
270,EC_NLP,274,164,-110,0.70236,0.70145,2
271,Scottfree,426,504,78,0.70235,0.69743,2
272,watersafe,429,541,112,0.70235,0.69729,2
273,Niranjan Nakkala,428,300,-128,0.70235,0.69935,2
274,tomci,427,123,-304,0.70235,0.70243,2
275,lannelin,418,614,196,0.70235,0.69729,2
276,deville,444,168,-276,0.70235,0.70138,2
277,abdelatif,425,61,-364,0.70235,0.70573,2
278,SSR,424,226,-198,0.70235,0.70022,2
279,Andrew Shevelev,423,328,-95,0.70235,0.6991,2
280,Richard,422,674,252,0.70235,0.69729,2
281,PaulSave,430,615,185,0.70235,0.69729,2
282,malek.badreddine,420,582,162,0.70235,0.69729,2
283,kyb,421,256,-165,0.70235,0.69976,2
284,tnhgun,435,472,37,0.70235,0.69763,2
285,shishirranjan,431,333,-98,0.70235,0.6991,2
286,Jules,432,510,78,0.70235,0.69743,2
287,yabanai,433,570,137,0.70235,0.69729,2
288,Elie,434,424,-10,0.70235,0.69826,2
289,TeslaAzad,436,552,116,0.70235,0.69729,2
290,yangDDD,437,571,134,0.70235,0.69729,2
291,JUN,438,622,184,0.70235,0.69729,2
292,Aman.cyberia,439,74,-365,0.70235,0.70573,2
293,[TensorMusic] Patryk Binkowski,440,598,158,0.70235,0.69729,2
294,Evgenia Raikakou,441,553,112,0.70235,0.69729,2
295,orchid,442,639,197,0.70235,0.69729,1
296,MLlotus,443,643,200,0.70235,0.69729,1
297,LaboWest,419,617,198,0.70235,0.69729,2
298,ISMAIL YILDIZ,390,650,260,0.70235,0.69729,1
299,James Requa,417,640,223,0.70235,0.69729,2
300,rc95401,416,150,-266,0.70235,0.70185,2
301,FishRedRiver,446,584,138,0.70235,0.69729,2
302,Sushil,392,589,197,0.70235,0.69729,2
303,rafarui,393,514,121,0.70235,0.69743,2
304,FengLei Dou,394,599,205,0.70235,0.69729,2
305,wakame,395,562,167,0.70235,0.69729,2
306,derplearning,396,561,165,0.70235,0.69729,2
307,Akhil,397,683,286,0.70235,0.69729,2
308,Pranav Pandya,398,270,-128,0.70235,0.69935,2
309,kanishk,399,628,229,0.70235,0.69729,2
310,Mukesh,400,682,282,0.70235,0.69729,2
311,817混子,401,656,255,0.70235,0.69729,2
312,Haitao Yu,402,600,198,0.70235,0.69729,2
313,jarkir,403,618,215,0.70235,0.69729,2
314,Godfather,404,574,170,0.70235,0.69729,1
315,Vinko Kodžoman,405,658,253,0.70235,0.69729,2
316,Jin Ma,406,649,243,0.70235,0.69729,2
317,A&Z,407,273,-134,0.70235,0.69935,2
318,Niranjan Rao,408,654,246,0.70235,0.69729,2
319,RajatAgarwal,409,638,229,0.70235,0.69729,2
320,Grand Rookie,410,162,-248,0.70235,0.70156,2
321,wilbur,411,540,129,0.70235,0.69729,2
322,SergeyKalutsky,412,590,178,0.70235,0.69729,2
323,ManyFoldCV,413,605,192,0.70235,0.69729,2
324,danjafish,414,544,130,0.70235,0.69729,2
325,Renjiv Raman,415,67,-348,0.70235,0.70573,2
326,newbiegyc,445,154,-291,0.70235,0.70174,2
327,Madoka Guo,485,557,72,0.70235,0.69729,1
328,skrcode,447,289,-158,0.70235,0.69935,2
329,Edmon,476,69,-407,0.70235,0.70573,2
330,ExCalibur,478,609,131,0.70235,0.69729,1
331,AM Drifter (Elhamdaoui),479,351,-128,0.70235,0.6991,2
332,mkHades,480,634,154,0.70235,0.69729,2
333,雪峰西路,481,536,55,0.70235,0.69729,2
334,ShakewinGo,482,370,-112,0.70235,0.69886,2
335,Daniil Barysevich,483,546,63,0.70235,0.69729,2
336,Vahid Reza Khazaie,484,670,186,0.70235,0.69729,1
337,BeSincere,486,548,62,0.70235,0.69729,2
338,think2019,487,554,67,0.70235,0.69729,1
339,Ryuichi Ishikawa,489,653,164,0.70235,0.69729,2
340,Radek Svoboda,490,515,25,0.70235,0.69743,2
341,Tatsu Lucas Ilya,491,579,88,0.70235,0.69729,2
342,jmks,492,648,156,0.70235,0.69729,2
343,jamsic,493,635,142,0.70235,0.69729,2
344,wi_hit,494,547,53,0.70235,0.69729,1
345,Long Time No See,496,334,-162,0.70235,0.6991,2
346,VivekVerma,497,664,167,0.70235,0.69729,2
347,chhaatra,498,12,-486,0.70235,0.70961,2
348,snanurag,499,585,86,0.70235,0.69729,2
349,Quora,500,684,184,0.70235,0.69729,2
350,Anna Novikova,501,588,87,0.70235,0.69729,2
351,Mikhail Karchevskiy,502,616,114,0.70235,0.69729,2
352,yidao,503,594,91,0.70235,0.69729,1
353,EgorBogomolov,504,555,51,0.70235,0.69729,2
354,yknmt,505,569,64,0.70235,0.69729,2
355,Michael Schimmer,477,632,155,0.70235,0.69729,2
356,Pavitrakumar P,475,526,51,0.70235,0.69732,2
357,[ods.ai] Stasik,448,565,117,0.70235,0.69729,2
358,ZhixiangLuo,474,707,233,0.70235,0.69714,2
359,Kerzer,449,296,-153,0.70235,0.69935,2
360,zhichao chen,450,330,-120,0.70235,0.6991,2
361,Arigion,451,669,218,0.70235,0.69729,2
362,djona,452,661,209,0.70235,0.69729,2
363,Sriharsha Atyam,453,608,155,0.70235,0.69729,2
364,VedantChoudhary,454,655,201,0.70235,0.69729,2
365,Vitalii Minaev,455,662,207,0.70235,0.69729,1
366,Edric Franco,456,558,102,0.70235,0.69729,1
367,Zhassulan Shaikhygali,457,323,-134,0.70235,0.6991,2
368,DavidGillespie,458,346,-112,0.70235,0.6991,2
369,Faneva Ramiandrisoa,459,595,136,0.70235,0.69729,1
370,wdaburke,460,542,82,0.70235,0.69729,2
371,ShanKag,461,157,-304,0.70235,0.70169,2
372,Piyush gandhi,462,509,47,0.70235,0.69743,2
373,kambehmw,463,680,217,0.70235,0.69729,2
374,BruceDai003,464,550,86,0.70235,0.69729,1
375,Experto,465,444,-21,0.70235,0.69803,2
376,Alexandr Deineha,466,625,159,0.70235,0.69729,2
377,Vishy,467,671,204,0.70235,0.69729,2
378,M,468,596,128,0.70235,0.69729,1
379,qhd0081,469,416,-53,0.70235,0.69834,2
380,Vladimir Nosov,470,516,46,0.70235,0.69743,2
381,Luis Bronchal,471,533,62,0.70235,0.69729,2
382,mnaoto,472,644,172,0.70235,0.69729,1
383,chicm,473,564,91,0.70235,0.69729,1
384,Nooh,391,685,294,0.70235,0.69729,2
385,Amber411,349,309,-40,0.70235,0.69924,2
386,sst89c51,389,573,184,0.70235,0.69729,2
387,PrasunMishra,301,484,183,0.70235,0.69752,2
388,DungNB,303,53,-250,0.70235,0.70573,2
389,abdul,304,409,105,0.70235,0.69839,2
390,Dimitrios Effrosynidis,305,666,361,0.70235,0.69729,2
391,elias8888,306,127,-179,0.70235,0.7024,2
392,Jiraiya,307,619,312,0.70235,0.69729,2
393,Sreyan Ghosh,308,395,87,0.70235,0.69859,2
394,MJ Bahmani,309,620,311,0.70235,0.69729,1
395,Anton Protopopov,310,556,246,0.70235,0.69729,2
396,Alexander Antonenko,311,55,-256,0.70235,0.70573,2
397,Takanori_N,312,167,-145,0.70235,0.70138,2
398,是小可爱！,313,532,219,0.70235,0.69729,2
399,Yash Upadhyay,314,593,279,0.70235,0.69729,1
400,il_buono,315,651,336,0.70235,0.69729,2
401,Srikar Kashyap,316,592,276,0.70235,0.69729,1
402,gsaintcirgue,317,606,289,0.70235,0.69729,2
403,Parallel Hexagon,318,633,315,0.70235,0.69729,2
404,robotoverlord,319,647,328,0.70235,0.69729,2
405,hp,320,440,120,0.70235,0.69805,2
406,Dinesh manivannan,321,665,344,0.70235,0.69729,2
407,Praveer Narwelkar,322,645,323,0.70235,0.69729,2
408,Maxim Vakhrushev,323,512,189,0.70235,0.69743,2
409,Lindada,324,563,239,0.70235,0.69729,2
410,t nakano,325,446,121,0.70235,0.69798,2
411,Sreeram,326,604,278,0.70235,0.69729,2
412,rumor,327,242,-85,0.70235,0.69998,2
413,Kaito,302,686,384,0.70235,0.69729,2
414,haradataman,300,577,277,0.70235,0.69729,2
415,Luis Andre Dutra e Silva,329,497,168,0.70235,0.69743,2
416,Wei Zheng,299,543,244,0.70235,0.69729,2
417,vladkha,388,460,72,0.70235,0.69775,2
418,Jalen.yes,275,29,-246,0.70235,0.70777,2
419,MRBOT,276,623,347,0.70235,0.69729,1
420,Nitin Jain,277,677,400,0.70235,0.69729,2
421,boosting_75,278,390,112,0.70235,0.69864,2
422,Alkhouski Andrei,279,627,348,0.70235,0.69729,2
423,Georgios Sarantitis,280,198,-82,0.70235,0.70075,2
424,Vasily Ryazanov,281,76,-205,0.70235,0.70573,2
425,Aleksey Alekseev,282,434,152,0.70235,0.69812,2
426,MirkoČorić,283,412,129,0.70235,0.69839,2
427,RyujiMatsushima,284,461,177,0.70235,0.69774,2
428,tnlin,285,224,-61,0.70235,0.70024,2
429,LoL,286,534,248,0.70235,0.69729,2
430,Landlord's cat,287,505,218,0.70235,0.69743,2
431,GrwKremilek,288,607,319,0.70235,0.69729,1
432,pkugoodspeed,289,63,-226,0.70235,0.70573,2
433,Igor Soldatov,290,293,3,0.70235,0.69935,2
434,HarryQuake,291,580,289,0.70235,0.69729,2
435,StevenTMHsu德明,292,43,-249,0.70235,0.70671,2
436,Tak42,293,202,-91,0.70235,0.70067,2
437,JeevanAnand Anne,294,630,336,0.70235,0.69729,2
438,"Yu,Hai (于海)",295,597,302,0.70235,0.69729,2
439,Nithinthakur,296,626,330,0.70235,0.69729,2
440,[ods.ai] Kirill Stroganov,297,549,252,0.70235,0.69729,2
441,Amimul Ihsan,298,265,-33,0.70235,0.69948,2
442,Agrwhy,328,449,121,0.70235,0.69796,2
443,yw2817,348,566,218,0.70235,0.69729,2
444,insolfrac,330,676,346,0.70235,0.69729,2
445,Takahiro Saito,373,603,230,0.70235,0.69729,2
446,Andrew Nedilko,361,578,217,0.70235,0.69729,2
447,TeraFlops,363,268,-95,0.70235,0.69935,2
448,0x0x,364,568,204,0.70235,0.69729,2
449,philosophical zombie,365,631,266,0.70235,0.69729,2
450,james_pb,366,636,270,0.70235,0.69729,2
451,Vector S,367,672,305,0.70235,0.69729,2
452,Andrii Sydorchuk,368,601,233,0.70235,0.69729,2
453,alsaco,369,277,-92,0.70235,0.69935,2
454,Shanqi Yang,370,586,216,0.70235,0.69729,2
455,mle,371,641,270,0.70235,0.69729,2
456,InAFlash,372,675,303,0.70235,0.69729,2
457,Patrick DeKelly,374,433,59,0.70235,0.69812,2
458,i-shuhei,359,688,329,0.70235,0.69729,2
459,Gin04kg,375,572,197,0.70235,0.69729,2
460,Chicken Farm,376,538,162,0.70235,0.69729,1
461,Daniel Lerch,377,430,53,0.70235,0.69815,2
462,Vladimir Larin,378,667,289,0.70235,0.69729,2
463,ebby george,380,559,179,0.70235,0.69729,2
464,Marek,381,11,-370,0.70235,0.71004,2
465,Hope,382,642,260,0.70235,0.69729,2
466,JulienAudibert,383,673,290,0.70235,0.69729,1
467,David Zhuang,384,629,245,0.70235,0.69729,2
468,Aditya Vyas,385,500,115,0.70235,0.69743,2
469,Quoratron,386,624,238,0.70235,0.69729,1
470,nptd,360,681,321,0.70235,0.69729,2
471,Gabriel Preda,379,518,139,0.70235,0.69741,2
472,Oussama Errabia,358,637,279,0.70235,0.69729,2
473,Shuki Goto,343,583,240,0.70235,0.69729,1
474,Alex M.,357,646,289,0.70235,0.69729,2
475,vinchileo,332,657,325,0.70235,0.69729,2
476,ChandrakantBothe,333,567,234,0.70235,0.69729,2
477,vanAmsen,334,663,329,0.70235,0.69729,2
478,[ods.ai] Набутылка Лаб [dsmlkz],335,537,202,0.70235,0.69729,2
479,Neha,336,678,342,0.70235,0.69729,2
480,gpucloud,337,301,-36,0.70235,0.69935,2
481,Femi,338,611,273,0.70235,0.69729,2
482,VenkateshRadhakrishnan,339,459,120,0.70235,0.69776,2
483,PC,340,613,273,0.70235,0.69729,2
484,Wengyp,341,297,-44,0.70235,0.69935,2
485,Eric Guo,342,24,-318,0.70235,0.70845,2
486,kztech,387,269,-118,0.70235,0.69935,2
487,xiaoyif,344,62,-282,0.70235,0.70573,2
488,S&M,350,610,260,0.70235,0.69729,2
489,Chia-Ta Tsai,355,545,190,0.70235,0.69729,2
490,Justin,354,612,258,0.70235,0.69729,2
491,logachev,352,531,179,0.70235,0.69729,2
492,Frank Kloster,351,28,-323,0.70235,0.70777,2
493,Datadoume,353,530,177,0.70235,0.69729,1
494,Dmitrij Kozachuk,331,659,328,0.70235,0.69729,2
495,ɴicoʟɑsʜeʀʀan,345,621,276,0.70235,0.69729,2
496,Nguyen Tang Tri Duc,347,652,305,0.70235,0.69729,2
497,Avinash,346,535,189,0.70235,0.69729,2
498,Free lancer,356,340,-16,0.70235,0.6991,2
499,Yinxiao Li,506,94,-412,0.70233,0.70384,2
500,Tatsuya Okunaga,507,121,-386,0.70233,0.70252,2
501,Shalnovv,508,233,-275,0.70232,0.70016,2
502,takeh.oh,510,148,-362,0.70231,0.70198,2
503,Nat Bel ML Fun,511,230,-281,0.70229,0.70019,2
