,Team Name,Rank_private,Rank_public,Shake,Score_private,Score_public,Entries
66,Katsunori Nakai,67,8,-59,0.65778,0.77988,105.0
67,Little Miner,68,204,136,0.65769,0.7014199999999999,23.0
68,Kaggle n00bz,69,1094,1025,0.65759,0.48431,19.0
69,Corwin,70,272,202,0.65652,0.6996399999999999,18.0
70,WHK~,71,849,778,0.65637,0.6551600000000001,7.0
71,Tadeusz Hupało,72,156,84,0.65625,0.70686,8.0
72,Anna Lorenz,73,888,815,0.65595,0.6463800000000001,14.0
73,Vjacheslav Ukraincev,74,138,64,0.65579,0.70955,2.0
74,Electric Mike,75,786,711,0.65577,0.6665800000000001,105.0
75,ngxx,76,1061,985,0.65567,0.5292899999999999,15.0
76,KhV,77,310,233,0.65514,0.69665,21.0
77,currypurin,78,533,455,0.65484,0.69434,28.0
78,Dmitriy Danevskiy,79,993,914,0.65482,0.5886899999999999,9.0
79,Lazarp,80,614,534,0.65474,0.68767,23.0
80,mrxuehb,81,18,-63,0.65456,0.7560600000000001,81.0
81,tlow,82,881,799,0.6542100000000001,0.64803,17.0
82,[ods.ai] n01z3,83,27,-56,0.65408,0.7416699999999999,16.0
83,KOLjkA,84,955,871,0.6532,0.61755,27.0
84,Marcin Pękalski,85,762,677,0.6531600000000001,0.67011,11.0
85,yechiel amsalem,86,1011,925,0.65279,0.57626,29.0
86,s.s.o,87,93,6,0.65274,0.71485,11.0
87,Sergei Fironov,88,4,-84,0.65263,0.8074100000000001,100.0
88,Ismail,89,681,592,0.65205,0.68084,4.0
89,"It's all good, man!",90,974,884,0.65159,0.6040399999999999,5.0
90,hectic detector,91,973,882,0.65142,0.6048399999999999,3.0
91,uratatsu,92,46,-46,0.6511899999999999,0.7269399999999999,13.0
92,Manuel Campos,93,35,-58,0.65076,0.7349100000000001,127.0
93,Stone110,94,909,815,0.65059,0.64032,3.0
94,Ivan Batalov,95,965,870,0.6503399999999999,0.61047,14.0
95,xffj,96,943,847,0.65013,0.62502,12.0
96,ML Roulette,97,41,-56,0.65005,0.7315699999999999,82.0
97,ln,99,203,104,0.64955,0.70198,25.0
98,George Okromchedlishvili,100,902,802,0.6494,0.64258,2.0
99,Bartosz Królikowski,101,1072,971,0.64862,0.51689,15.0
100,EE2010,102,906,804,0.6483399999999999,0.64103,21.0
101,GaoYL,103,784,681,0.6481,0.66685,31.0
102,K. Kawasaki,104,813,709,0.64744,0.66227,11.0
103,vladimirthinkabout,105,416,311,0.64741,0.69434,2.0
104,Shiro Kawakita,106,354,248,0.64741,0.69434,34.0
105,kyb,107,787,680,0.64741,0.6665399999999999,4.0
106,Kishore M,108,45,-63,0.64741,0.7279800000000001,13.0
107,Oh Yeah,109,850,741,0.64741,0.6551600000000001,3.0
108,Deep Chatterjee,110,718,608,0.64741,0.67647,2.0
109,kenkra,111,852,741,0.64741,0.6551600000000001,4.0
110,MrWhite,112,1027,915,0.64725,0.56242,7.0
111,Kazuyuki Mori,113,945,832,0.6471600000000001,0.6241399999999999,5.0
112,[ods.ai] overfitting,114,16,-98,0.6471,0.7571,115.0
113,IIS,115,298,183,0.64685,0.69787,24.0
114,Ivory Tower,116,1097,981,0.6467,0.48178000000000004,15.0
115,改个名字上分,117,329,212,0.64655,0.6948300000000001,33.0
116,electric eel,118,810,692,0.6461600000000001,0.66233,19.0
117,kaerururu,119,641,522,0.6458,0.68479,59.0
118,kakapo2,120,704,584,0.64573,0.67756,41.0
119,Bac Nguyen,121,872,751,0.64569,0.64973,8.0
120,RabotniKuma,122,560,438,0.6456,0.69306,20.0
121,kshramt,123,1102,979,0.64559,0.47405,3.0
122,Yuko Ishizaki,124,1020,896,0.6453800000000001,0.5683,40.0
123,Ziyang Zhang,125,507,382,0.6453399999999999,0.69434,18.0
124,Marc&Ignacio,126,193,67,0.6450899999999999,0.70214,18.0
125,Lindada,127,639,512,0.6448699999999999,0.68495,7.0
126,jamie_omoya,128,294,166,0.64463,0.69862,7.0
127,Vyaches,129,748,619,0.6443399999999999,0.67175,7.0
128,Silvernine,130,939,809,0.6440899999999999,0.62713,36.0
129,TDK,131,600,469,0.6440600000000001,0.68929,44.0
130,Pavel Kuzmin,132,896,764,0.64403,0.64404,51.0
131,kirikei,133,321,188,0.64386,0.69584,38.0
132,[kaggler-ja] koukyo,134,87,-47,0.64347,0.71654,39.0
133,M0nZDeRR,135,720,585,0.64299,0.67608,24.0
134,TensorFrozen,136,987,851,0.6429,0.5918800000000001,7.0
135,hui & li & zhou,137,25,-112,0.64278,0.74439,172.0
136,elcances,138,1001,863,0.64275,0.58694,15.0
137,Carlito,139,768,629,0.64271,0.6691,12.0
138,ShortCircuit,140,631,491,0.6422,0.68623,11.0
139,valvcb,141,63,-78,0.64218,0.72012,31.0
140,wang,142,399,257,0.6419100000000001,0.69434,6.0
141,s4port,143,886,743,0.64179,0.64735,8.0
142,T Flana,144,37,-107,0.64179,0.73315,107.0
143,Fever,145,688,543,0.64139,0.6795100000000001,1.0
144,fujisan,146,823,677,0.6411600000000001,0.65915,12.0
145,davidwang,147,290,143,0.6410399999999999,0.69889,13.0
146,Dieter,148,734,586,0.64089,0.67357,7.0
147,Nguyen Tang Tri Duc,149,601,452,0.64071,0.68887,5.0
148,Padre Mojito,150,192,42,0.64046,0.70236,12.0
149,neongen,151,672,521,0.64031,0.68156,11.0
150,YLChan,152,730,578,0.6401,0.67378,28.0
151,dhaqui,153,11,-142,0.63973,0.77331,83.0
152,Annabelle,154,20,-134,0.63932,0.7559600000000001,80.0
153,nkmk,155,275,120,0.63879,0.6996399999999999,20.0
154,Mohammed Tayor,156,76,-80,0.63868,0.71773,16.0
155,Georg,157,837,680,0.63836,0.65687,25.0
156,thysd802,158,1074,916,0.63835,0.51167,6.0
157,Piyush,190,230,40,0.63795,0.70057,9.0
158,Ahmed Kamel Taha,183,277,94,0.63795,0.6996399999999999,13.0
159,no idea,184,268,84,0.63795,0.6996399999999999,23.0
160,Nuno Ferreira,185,258,73,0.63795,0.6996399999999999,12.0
161,XiaoYu,186,148,-38,0.63795,0.70718,7.0
162,Lathwal,187,243,56,0.63795,0.70057,10.0
163,Arthur Kipel,181,255,74,0.63795,0.6996399999999999,5.0
164,Amine AMYAR,188,220,32,0.63795,0.70057,29.0
165,Nooh,189,233,44,0.63795,0.70057,14.0
166,[TensorMusic] Patryk Binkowski,191,250,59,0.63795,0.6996399999999999,5.0
167,Tarun Sriranga Paparaju,200,199,-1,0.63795,0.70198,34.0
168,JohnM,192,99,-93,0.63795,0.71467,4.0
169,NxGTR,193,213,20,0.63795,0.70057,11.0
170,Moradnejad,194,78,-116,0.63795,0.71773,6.0
171,Aman.cyberia,195,254,59,0.63795,0.6996399999999999,18.0
172,DungNB,196,224,28,0.63795,0.70057,4.0
173,Nobody,197,141,-56,0.63795,0.70718,8.0
174,Anton Bazdyrev,198,270,72,0.63795,0.6996399999999999,8.0
175,shujunge,199,269,70,0.63795,0.6996399999999999,13.0
176,Santiago Mota,182,68,-114,0.63795,0.71954,7.0
177,Tenich,173,280,107,0.63795,0.6996399999999999,3.0
178,Tetyana Yatsenko,180,271,91,0.63795,0.6996399999999999,32.0
179,Vansh Jatana,166,211,45,0.63795,0.70057,15.0
180,Sion Wang,159,196,37,0.63795,0.70198,6.0
181,Truoc Pham,160,247,87,0.63795,0.6996399999999999,2.0
182,ikeuchy,161,265,104,0.63795,0.6996399999999999,11.0
183,A_G,162,266,104,0.63795,0.6996399999999999,1.0
184,Patrick DeKelly,163,267,104,0.63795,0.6996399999999999,1.0
185,tamanyan,164,248,84,0.63795,0.6996399999999999,8.0
186,SomethingIsWrong,165,219,54,0.63795,0.70057,6.0
187,ZFTurbo,167,257,90,0.63795,0.6996399999999999,3.0
188,SLMB,168,264,96,0.63795,0.6996399999999999,24.0
189,danjafish,169,178,9,0.63795,0.70455,12.0
190,JulienAudibert,171,262,91,0.63795,0.6996399999999999,3.0
191,hawks10,172,273,101,0.63795,0.6996399999999999,9.0
192,Kamal Chhirang,174,59,-115,0.63795,0.72216,12.0
193,Eric Vos,175,278,103,0.63795,0.6996399999999999,13.0
194,Qing Liu,176,102,-74,0.63795,0.71467,13.0
195,MJ Bahmani,177,244,67,0.63795,0.70057,12.0
196,k2J,178,261,83,0.63795,0.6996399999999999,8.0
197,Alexander Bersenev,201,749,548,0.63773,0.67173,27.0
198,mlandry,203,136,-67,0.6376,0.7095600000000001,4.0
199,Frank Guo,202,612,410,0.6376,0.68806,12.0
200,Paulo Pinto,204,100,-104,0.63748,0.71467,33.0
201,corner200,205,958,753,0.63747,0.61547,53.0
202,agis,206,392,186,0.63735,0.69434,16.0
203,leaky_relu,207,685,478,0.63735,0.68008,6.0
204,Andrew Minh Nguyen,208,994,786,0.6369600000000001,0.5877899999999999,4.0
205,Lefteris Fanioudakis,209,617,408,0.6362399999999999,0.68747,12.0
206,佛系上分,210,52,-158,0.63618,0.7236899999999999,45.0
207,K_mat,211,940,729,0.6360399999999999,0.62629,4.0
208,mhiro2,213,143,-70,0.63597,0.70718,35.0
209,Dmitry Kulagin,212,618,406,0.63597,0.68733,2.0
210,Alberto E.,214,133,-81,0.63588,0.7095600000000001,36.0
211,GeraldKoye,215,882,667,0.63584,0.64779,2.0
212,Michał,216,207,-9,0.63572,0.70127,33.0
213,clv_team,218,828,610,0.63557,0.65883,19.0
214,so sad(T⌓T),219,781,562,0.63548,0.66779,28.0
215,Sorbet,220,654,434,0.63521,0.68396,3.0
216,Clement90,221,918,697,0.63508,0.63618,10.0
217,Yu Fujiki,222,114,-108,0.63489,0.71262,11.0
218,canorbal,223,691,468,0.63453,0.67883,4.0
219,Scorify.ai,224,936,712,0.6345,0.6282300000000001,53.0
220,Sanjayan PS,225,929,704,0.63441,0.63147,6.0
221,KrisHug,226,887,661,0.63438,0.6463800000000001,4.0
222,manmay nakhashi,227,764,537,0.63435,0.6700699999999999,4.0
223,Peining,228,637,409,0.63432,0.68548,37.0
224,Marcin Faber,229,717,488,0.63432,0.67647,22.0
225,Inaki Cervera-Marzal,230,755,525,0.63421,0.6702,8.0
226,ariel,231,836,605,0.6338,0.6572399999999999,6.0
227,EE,233,676,443,0.63337,0.68108,89.0
228,MasahikoYasui,234,705,471,0.63337,0.6773399999999999,7.0
229,Mikhail Fadeev,232,677,445,0.63337,0.68093,12.0
230,sri phani krishna karri,235,1042,807,0.6332399999999999,0.54943,4.0
231,谁又跑到我前面去了,236,85,-151,0.6329899999999999,0.71707,17.0
232,tamura,237,523,286,0.6329899999999999,0.69434,5.0
233,super power,238,835,597,0.6325,0.6582399999999999,3.0
234,Cristian Lungu,239,470,231,0.63232,0.69434,10.0
235,ProAI,240,373,133,0.63159,0.69434,13.0
236,redbear,241,1014,773,0.63138,0.5743199999999999,4.0
237,asa,242,776,534,0.6312800000000001,0.66815,11.0
238,Salil Gautam,245,51,-194,0.63118,0.7258600000000001,23.0
239,Ashish Patel(阿希什),244,49,-195,0.63118,0.7258600000000001,14.0
240,Ashish Gupta,243,50,-193,0.63118,0.7258600000000001,39.0
241,zcjcome,246,570,324,0.63093,0.69203,3.0
242,KAI CHUN HSU,247,952,705,0.6308699999999999,0.6219100000000001,11.0
243,Ganfear & Sangxia,248,603,355,0.63079,0.68884,105.0
244,u++,249,171,-78,0.6307699999999999,0.70455,10.0
245,SA,250,318,68,0.63069,0.69605,22.0
246,DL,257,292,35,0.63068,0.69889,29.0
247,SAN,256,325,69,0.63068,0.69526,4.0
248,MuP62,255,324,69,0.63068,0.69526,1.0
249,Divyashakti,254,291,37,0.63068,0.69889,5.0
250,ML67,253,293,40,0.63068,0.69889,5.0
251,cjwh,252,150,-102,0.63068,0.70711,2.0
252,Blaž Zupančič,251,910,659,0.63068,0.63973,3.0
253,Maria Alvi,258,646,388,0.63065,0.6843600000000001,9.0
254,Dr01,259,88,-171,0.63065,0.71622,89.0
255,Zoopal2OxfordRPZ,260,797,537,0.63058,0.66477,5.0
256,[ods.ai] Alex Lekov,261,24,-237,0.63058,0.74716,17.0
257,Bjenk Ellefsen,262,619,357,0.63051,0.68721,25.0
258,Kernel Submission,263,529,266,0.63042,0.69434,2.0
259,Dapeng Lee🐦,264,186,-78,0.63034,0.7035100000000001,17.0
260,DaveRo,265,712,447,0.63025,0.67661,14.0
261,GitShe11,266,103,-163,0.62976,0.71467,32.0
262,IsaacSquared,267,811,544,0.62973,0.66233,5.0
263,monda,268,670,402,0.62965,0.68156,17.0
264,floptimist,269,1029,760,0.62935,0.56172,14.0
265,Christian Lahr,270,725,455,0.6293,0.6746,4.0
266,yukiya,271,218,-53,0.62926,0.70057,29.0
267,Ming Pan,272,858,586,0.6292399999999999,0.65394,4.0
268,Marek Wyborski,273,119,-154,0.62858,0.71208,16.0
269,Quackaroonie,274,40,-234,0.62857,0.73159,54.0
270,shujiro miyakawa,275,167,-108,0.62855,0.70518,30.0
271,Michael Francis,276,140,-136,0.62821,0.70802,5.0
272,Kardos Tamas,277,716,439,0.62803,0.67647,6.0
273,ymicky,278,585,307,0.6279899999999999,0.6904399999999999,26.0
274,一次摸奖一次输，一直摸奖一直输,279,534,255,0.6279399999999999,0.69434,4.0
275,William Green,280,441,161,0.6279100000000001,0.69434,15.0
276,David Luo,281,572,291,0.6277699999999999,0.69203,25.0
277,Terkel Bo Olsen,282,790,508,0.62775,0.6662399999999999,4.0
278,Avadhūta,283,915,632,0.6277,0.63679,2.0
279,Chunling,284,894,610,0.6276,0.64486,22.0
280,Ashwini,285,840,555,0.62732,0.65589,2.0
281,WhoAmI|我是少年英雄小蚂蚱,286,812,526,0.62731,0.66227,22.0
282,Top 694 Kernelers,287,334,47,0.62731,0.6948300000000001,72.0
283,Ubique,288,729,441,0.62729,0.67423,40.0
284,Nitin,289,908,619,0.62713,0.64046,1.0
285,bmci,290,606,316,0.6269899999999999,0.68852,27.0
286,電線を 理解するのは 無理,291,116,-175,0.6269899999999999,0.71254,21.0
287,Anarkh,292,791,499,0.62695,0.6662399999999999,2.0
288,Talgat,293,604,311,0.62695,0.6885600000000001,3.0
289,chaos,294,563,269,0.6268199999999999,0.69286,25.0
290,Baas,295,1088,793,0.62676,0.49583,2.0
291,Chin Ee Kin,296,845,549,0.62671,0.65566,4.0
292,Cosmos,297,920,623,0.62671,0.6335,10.0
293,Kazumi Sakamoto,298,650,352,0.62669,0.68407,30.0
294,SM,299,197,-102,0.6262,0.70198,14.0
295,Andrea,300,739,439,0.62611,0.67218,10.0
296,Frodos,301,295,-6,0.62611,0.6986,16.0
297,takaakiinada,302,319,17,0.62611,0.69605,17.0
298,ZackCode,303,847,544,0.6260100000000001,0.65552,1.0
299,ddssq,304,1004,700,0.62583,0.58613,2.0
300,takuya,305,778,473,0.6258199999999999,0.6681,15.0
301,J's 11,306,842,536,0.62578,0.65589,49.0
302,Stanislav Demchenko,307,756,449,0.62575,0.6702,4.0
303,VVRud,308,935,627,0.62573,0.6289,4.0
304,Alex Lopez,309,1033,724,0.62555,0.55475,7.0
305,djJana,310,975,665,0.62543,0.60387,3.0
306,Joakim Arvidsson,311,905,594,0.62529,0.64149,1.0
307,kane,312,922,610,0.6252800000000001,0.63244,12.0
308,yulin pan,313,565,252,0.6252800000000001,0.6926399999999999,7.0
309,Lethal Roger,314,775,461,0.62525,0.66815,5.0
310,Grzegorz Sionkowski,317,305,-12,0.62517,0.69696,8.0
311,Momijiaoi,315,147,-168,0.62517,0.70718,28.0
312,大黑楼,316,188,-128,0.62517,0.7035100000000001,44.0
313,Koichi Saito,318,659,341,0.6248600000000001,0.68247,6.0
314,YaGana Sheriff-Hussaini,319,98,-221,0.6248600000000001,0.71467,98.0
315,zblyou1,320,678,358,0.6248600000000001,0.68093,6.0
316,Byron Lopez,321,573,252,0.62475,0.69203,1.0
317,Larxel,322,452,130,0.6246,0.69434,5.0
318,Shivam,323,726,403,0.62455,0.6746,3.0
319,Appian,324,838,514,0.62425,0.65601,9.0
320,DrHB,326,210,-116,0.62424,0.70057,1.0
321,Deep_patience,325,106,-219,0.62424,0.7146600000000001,9.0
322,LP Cheung,327,164,-163,0.62422,0.70523,7.0
323,AD&MO,328,398,70,0.62422,0.69434,3.0
324,lufr1ed,329,809,480,0.62408,0.6624399999999999,10.0
325,Onlise,330,131,-199,0.6239399999999999,0.7095600000000001,10.0
326,adilism,331,594,263,0.6239399999999999,0.6893,4.0
327,zoooey,332,69,-263,0.62393,0.7187100000000001,10.0
328,Rich He,333,831,498,0.6238199999999999,0.65872,1.0
329,rskmoi,334,122,-212,0.62374,0.71144,106.0
330,Antoine Plissonneau,335,306,-29,0.62354,0.69696,19.0
331,To Train Them Is My Cause,336,763,427,0.62347,0.67011,8.0
332,HarryQuake,337,696,359,0.62342,0.67804,1.0
333,Justfor,338,473,135,0.62336,0.69434,16.0
334,Kirgsn,339,120,-219,0.62326,0.71208,22.0
335,oranges,340,1114,774,0.62324,0.46092,20.0
336,SuryaPrasath,341,649,308,0.62311,0.68407,2.0
337,Banko,342,332,-10,0.62307,0.6948300000000001,2.0
338,PGiN,343,723,380,0.62307,0.67511,45.0
339,Helgi,344,90,-254,0.62307,0.71541,74.0
340,Aleksey,345,977,632,0.623,0.60135,3.0
341,all_random,346,780,434,0.62279,0.66779,2.0
342,DistractedEngineer,347,613,266,0.62274,0.68806,32.0
343,SpqceD,348,841,493,0.62273,0.65589,2.0
344,GuyMulino,349,591,242,0.62268,0.6893199999999999,7.0
345,SoftgearKo,350,89,-261,0.62245,0.71606,32.0
346,yokofudori,351,976,625,0.62232,0.60163,10.0
347,varunucl,352,393,41,0.62225,0.69434,3.0
348,scoiattolissimo,353,949,596,0.62211,0.62284,24.0
349,dierdier,354,819,465,0.62211,0.66027,2.0
350,Pedro Lima,355,861,506,0.6218600000000001,0.65258,7.0
351,mephistopheies,356,963,607,0.6218600000000001,0.6137600000000001,10.0
352,Matvei Riabinin,359,104,-255,0.62179,0.7146600000000001,34.0
353,Christian Rivera,358,577,219,0.62179,0.6916,3.0
354,Subrahmanyam V,360,108,-252,0.6217199999999999,0.7146600000000001,58.0
355,inaba,361,567,206,0.62161,0.6925100000000001,2.0
356,Dressed For Uni,362,30,-332,0.62149,0.73922,30.0
357,loveisp,363,655,292,0.62149,0.68393,2.0
358,huutrinh,364,916,552,0.62148,0.63665,5.0
359,yasube,366,132,-234,0.62148,0.7095600000000001,41.0
360,ag,367,55,-312,0.6214,0.72285,43.0
361,mnonaka3,368,54,-314,0.62139,0.72363,65.0
362,[ods.ai] твнорожденный,369,91,-278,0.62133,0.71541,11.0
363,gco46,371,745,374,0.62133,0.67176,14.0
364,Pikachuu,370,367,-3,0.62133,0.69434,49.0
365,Alex Stasiuk,372,826,454,0.62128,0.65897,3.0
366,大丝瓜呱,373,503,130,0.62124,0.69434,2.0
367,student,374,172,-202,0.62124,0.70455,12.0
368,Hohobro,375,740,365,0.6211800000000001,0.67209,1.0
369,YK,376,827,451,0.6211800000000001,0.65887,1.0
370,nabe,377,299,-78,0.6211800000000001,0.69768,34.0
371,simianware,378,350,-28,0.62112,0.69434,15.0
372,UNTITLE_NAME,380,31,-349,0.62102,0.73832,9.0
373,Oleksii B.,379,374,-5,0.62102,0.69434,16.0
374,Remarkable Pineapple,381,331,-50,0.6208899999999999,0.6948300000000001,2.0
375,Vladislav Balaev,382,304,-78,0.6208899999999999,0.69768,17.0
376,yyll008,383,568,185,0.62085,0.69213,18.0
377,Alex Hale,384,727,343,0.62085,0.6745800000000001,4.0
378,VukGlisovic,385,569,184,0.62085,0.69205,21.0
379,So hard,386,349,-37,0.6207699999999999,0.69434,60.0
380,Aziz,387,898,511,0.62069,0.6438699999999999,5.0
381,Maxym,389,794,405,0.62065,0.66555,1.0
382,Brad Bolliger,390,323,-67,0.62065,0.69557,10.0
383,Akimori yoichi,388,607,219,0.62065,0.68852,8.0
384,yokotani,391,121,-270,0.62059,0.71208,66.0
385,AtishDixit,392,893,501,0.62054,0.6448699999999999,1.0
386,rm -rf /,393,189,-204,0.62043,0.7027800000000001,21.0
387,MaMaMeeYa,394,586,192,0.62036,0.6904399999999999,17.0
388,Aqib Ahmed,395,627,232,0.62032,0.68662,9.0
389,Femi,396,553,157,0.62032,0.69367,2.0
390,safk,397,864,467,0.6203,0.65174,4.0
391,Alexey Turuta,398,871,473,0.62029,0.64989,4.0
392,tito,399,848,449,0.62011,0.6553800000000001,35.0
393,ChandrakantBothe,402,873,471,0.62003,0.64888,5.0
394,qrfaction,400,130,-270,0.62003,0.7095600000000001,2.0
395,Pepan,401,628,227,0.62003,0.6865899999999999,5.0
396,#TLMSMAL,404,798,394,0.6199899999999999,0.66471,10.0
397,fozzhey,405,844,439,0.6199899999999999,0.65589,1.0
398,AnHd,406,942,536,0.6199,0.6257699999999999,3.0
399,gavrand,407,154,-253,0.6199,0.70711,14.0
400,hmatsuya,408,638,230,0.61966,0.68548,13.0
401,BCE,409,808,399,0.61959,0.6624399999999999,3.0
402,Xavier Laurens,410,625,215,0.61951,0.68721,3.0
403,oyaoya123,411,765,354,0.61951,0.66988,2.0
404,Kruegger,412,231,-181,0.61946,0.70057,30.0
405,Hau Nguyen,413,937,524,0.61933,0.62798,5.0
406,Sorin1970,414,706,292,0.61916,0.67728,33.0
407,Maximiliano,415,783,368,0.61912,0.66727,53.0
408,Nicolas Wesner,416,587,171,0.61912,0.68981,3.0
409,Ulrich GOUE,417,644,227,0.61903,0.6843600000000001,24.0
410,chenxingpeng,418,285,-133,0.61903,0.69949,117.0
411,Jean-Marc,419,663,244,0.61903,0.6821,73.0
412,Kishi,421,38,-383,0.61903,0.73198,9.0
413,Vinay Pandit,422,746,324,0.61898,0.67175,34.0
414,Tak,425,711,286,0.6189600000000001,0.67661,24.0
415,roXw,424,633,209,0.6189600000000001,0.68582,5.0
416,MV®,423,777,354,0.6189600000000001,0.66815,3.0
417,ONODERA and Giba,426,32,-394,0.61892,0.73695,116.0
418,Julio Ribeiro,427,1090,663,0.61878,0.49068,1.0
419,隐身的山治,428,738,310,0.61878,0.6723,15.0
420,process531,429,806,377,0.6187600000000001,0.66247,1.0
421,mokmushroom,430,807,377,0.6187600000000001,0.66247,3.0
422,BNake,431,413,-18,0.6187600000000001,0.69434,2.0
423,Syhens,432,917,485,0.61874,0.6366,4.0
424,Beans,437,387,-50,0.6187199999999999,0.69434,2.0
425,Soonhwan Kwon,436,260,-176,0.6187199999999999,0.6996399999999999,21.0
426,jstrand,435,907,472,0.6187199999999999,0.6409999999999999,1.0
427,hadxu,434,134,-300,0.6187199999999999,0.7095600000000001,26.0
428,Adam Chang,433,149,-284,0.6187199999999999,0.70711,21.0
429,Brian,438,877,439,0.6187,0.64853,7.0
430,Michael Diskin,439,400,-39,0.6187,0.69434,10.0
431,ck.ua,440,1008,568,0.61857,0.58049,4.0
432,MGW,441,107,-334,0.61857,0.7146600000000001,31.0
433,andrekos,442,667,225,0.61857,0.68192,10.0
434,null_shredders,443,113,-330,0.61857,0.71262,3.0
435,kojimar,444,60,-384,0.61857,0.72208,108.0
436,hmdhmd,445,846,401,0.61855,0.65566,6.0
437,soundman3,446,722,276,0.61846,0.6754100000000001,8.0
438,Jack,447,878,431,0.61842,0.6481399999999999,15.0
439,Mark Peng,448,284,-164,0.61828,0.69949,6.0
440,Tony Y.,449,754,305,0.6182300000000001,0.6702,7.0
441,syoya,450,724,274,0.61822,0.67477,4.0
442,Lolo,451,801,350,0.61819,0.66335,15.0
443,data2insight,452,289,-163,0.61816,0.69924,5.0
444,AHOUMOCLOUA,455,645,190,0.6178899999999999,0.6843600000000001,3.0
445,kagglewangtang,456,911,455,0.6178899999999999,0.63971,8.0
