,Team Name,Rank_private,Rank_public,Shake,Score_private,Score_public,Entries
39,naotaka1128,42,110,68,3.60494,3.67192,108
40,知否知否应是摸奖时候,43,5,-38,3.60504,3.63904,409
41,marshi,44,268,224,3.60505,3.6819,21
42,[ods.ai] Tim Riggins,45,111,66,3.6052,3.67207,113
43,Yevhen Semanyuk,46,283,237,3.60524,3.68245,37
44,Parag Kale,47,287,240,3.60529,3.68253,65
45,DBi_germany,48,1593,1545,3.60537,3.69434,64
46,ValeriyBabushkin[ods.ai],49,199,150,3.60539,3.67855,6
47,kagren,50,209,159,3.60543,3.6791,62
48,Georgi Pamukov,51,248,197,3.60547,3.68112,39
49,Zhaick,52,261,209,3.60576,3.68165,50
50,lucaskg,53,162,109,3.60579,3.67639,55
51,rapids.ai,54,234,180,3.60586,3.68048,136
52,[ods.ai] Vadim Nareyko,55,219,164,3.60588,3.67987,100
53,Pray not to overfit,56,33,-23,3.60592,3.66137,74
54,danieldong101,57,216,159,3.60593,3.67941,71
55,Freddie Karlbom,58,119,61,3.60622,3.67283,78
56,Atanas Atanasov,59,83,24,3.60638,3.66893,144
57,Madiyar Aitbayev,60,127,67,3.6066,3.67365,111
58,AllMight,62,163,101,3.60673,3.67652,83
59,takeh.oh,63,31,-32,3.60674,3.66111,125
60,n01z3,64,238,174,3.60708,3.68063,5
61,mintei,65,412,347,3.60712,3.68547,40
62,1% dropout own 90% error,66,446,380,3.60729,3.68628,53
63,DmitryS,67,285,218,3.60734,3.68248,32
64,lennart,68,63,-5,3.60751,3.66698,324
65,Janos,69,240,171,3.60759,3.68075,77
66,dylan_chen,70,998,928,3.60763,3.69026,33
67,Hugues,71,106,35,3.60765,3.67161,140
68,ryo4962,72,202,130,3.60778,3.67877,35
69,Nikita Churkin,73,302,229,3.60785,3.68299,36
70,C.Y.W,74,327,253,3.60788,3.68334,49
71,DeepMeta,75,169,94,3.6079,3.67684,39
72,Asnone,76,167,91,3.60805,3.67681,162
73,for Adun!,77,250,173,3.60809,3.68117,41
74,HenryWu,78,206,128,3.60817,3.67895,31
75,Forever overfitting-well it seems it is not overfitting,79,86,7,3.60817,3.66901,267
76,FabienDaniel,80,393,313,3.6082,3.68493,66
77,Dimosthenis Karaflos,81,266,185,3.60824,3.68188,133
78,resonance,82,49,-33,3.60836,3.6649,310
79,Genryu,83,230,147,3.60841,3.68039,98
80,Kjetil Åmdal-Sævik,84,945,861,3.60843,3.68946,29
81,Kaggle Snail,85,252,167,3.60851,3.68134,21
82,[ka.kr]Avengers,86,10,-76,3.60859,3.64604,456
83,Didro team,87,247,160,3.60861,3.68108,198
84,安之z,89,334,245,3.60867,3.68347,57
85,i have no idea,88,457,369,3.60867,3.68647,46
86,two tails,91,931,840,3.60888,3.68921,25
87,super504,92,1003,911,3.60889,3.69039,15
88,Jebq,93,280,187,3.60891,3.68243,53
89,YaGana Sheriff-Hussaini,94,204,110,3.60904,3.67888,201
90,Using,95,256,161,3.60906,3.68146,34
91,JinCui,96,829,733,3.60907,3.68781,53
92,TrustyourCV,97,142,45,3.60919,3.67474,101
93,[ods.ai] mujiki,98,197,99,3.60922,3.67841,31
94,He Yan,99,485,386,3.60925,3.68688,34
95,Jzaldi,100,147,47,3.60928,3.67481,142
96,Jose Javier Costa,101,314,213,3.60932,3.68317,65
97,kxx,102,253,151,3.60933,3.68136,386
98,snovik,103,139,36,3.60939,3.67463,146
99,ykskks,104,62,-42,3.60939,3.66691,126
100,RomanKyrychenko [ods.ai],105,198,93,3.60944,3.67852,88
101,Matias Thayer,106,87,-19,3.60952,3.66913,94
102,Try one more time,107,416,309,3.60956,3.68564,79
103,Liam Roberts,108,259,151,3.60958,3.68159,60
104,AyhanC,109,409,300,3.6096,3.68543,58
105,m7catsue,110,458,348,3.60964,3.68648,39
106,Boris,111,367,256,3.60964,3.6841,10
107,BackTracking,112,476,364,3.60964,3.68675,100
108,Seth,113,148,35,3.60968,3.67529,76
109,tcwang,114,307,193,3.60969,3.68308,158
110,teru111,115,132,17,3.60979,3.67383,109
111,Cao,116,449,333,3.60982,3.6863,75
112,GaoYL,117,239,122,3.60986,3.68069,53
113,steubk,118,76,-42,3.60987,3.66811,93
114,Nikolay Skorikov,119,976,857,3.60988,3.68989,40
115,chandureddyvari,120,380,260,3.61001,3.68439,85
116,LiuDong,121,1060,939,3.61002,3.69109,53
117,Mario Filho,122,441,319,3.61003,3.6862,75
118,[ods.ai] il_buono,123,207,84,3.61007,3.67899,164
119,🐳鲲(China),124,182,58,3.6101,3.67757,10
120,Yuki. O,125,373,248,3.61012,3.68421,61
121,Alexpartisan,126,137,11,3.61016,3.67427,29
122,yokiii,127,420,293,3.61017,3.68568,12
123,Master Candidates,128,25,-103,3.61018,3.65787,270
124,shen,129,1585,1456,3.61019,3.6942,42
125,Michael Francis,130,215,85,3.61022,3.67937,16
126,PeterSorensen,131,356,225,3.61025,3.68376,93
127,no one,132,942,810,3.61027,3.68942,11
128,xffj,133,370,237,3.61032,3.68416,39
129,ramesh,135,360,225,3.61034,3.68383,12
130,rameshlal,134,361,227,3.61034,3.68383,13
131,Guang Yang,136,107,-29,3.61035,3.67162,84
132,yjy1996,137,403,266,3.61037,3.68516,28
133,Baskar Sambandamurthy,138,243,105,3.61037,3.68082,56
134,Vladimir Boichenko,139,170,31,3.61046,3.67687,101
135,On the verge of dropping,140,96,-44,3.61055,3.67043,234
136,Ning Jia,141,383,242,3.61056,3.68446,54
137,KublaKahn,142,973,831,3.61057,3.68987,121
138,liijeff,144,419,275,3.61061,3.68568,109
139,Yurii,143,350,207,3.61061,3.68365,212
140,seaguII,145,1234,1089,3.61063,3.69218,30
141,Haoming W,146,791,645,3.61063,3.68771,27
142,Vladimir Demidov,147,418,271,3.61065,3.68566,100
143,TuanD,148,535,387,3.61066,3.68744,3
144,Infinite Ryvius,149,874,725,3.61066,3.68815,40
145,yl1202,150,1810,1660,3.61067,3.69736,130
146,Obsidian,151,1595,1444,3.6107,3.69435,48
147,DSEC,153,286,133,3.61074,3.68248,55
148,sxzircon,152,415,263,3.61074,3.68556,55
149,Robson,154,906,752,3.61078,3.68867,20
150,bezul,155,463,308,3.61078,3.68651,98
151,mlandry,156,227,71,3.61079,3.68024,21
152,Bernd Allmendinger,157,712,555,3.61084,3.68771,19
153,yaaku,158,82,-76,3.6109,3.66891,142
154,donggyukimc,159,374,215,3.61096,3.68424,42
155,Poatek,160,844,684,3.61098,3.68795,39
156,beginner,161,1065,904,3.61103,3.69111,24
157,Bruno Coelho,162,1985,1823,3.61107,3.69945,20
158,[ods.ai] Igor Vikhrov,163,211,48,3.61108,3.67924,47
159,DucVuAnh,164,1834,1670,3.61109,3.69787,42
160,Transformers,165,180,15,3.61109,3.67741,229
161,Futhon,167,255,88,3.61114,3.68141,198
162,Philippe Lonjoux,168,236,68,3.61117,3.68049,204
163,tanbo,169,223,54,3.6112,3.68009,48
164,Fred Navruzov,171,470,299,3.61124,3.68661,25
165,Lingfeng Guo,170,482,312,3.61124,3.68681,13
166,onlyzs,172,498,326,3.61126,3.68707,29
167,Nooh,173,432,259,3.61129,3.68599,40
168,[ods.ai] Joke about shakeup,174,408,234,3.61129,3.68541,68
169,François,175,467,292,3.61134,3.68657,64
170,Taufik Adi Nugraha,176,990,814,3.61136,3.69013,47
171,xinTimes2,177,115,-62,3.61138,3.67236,44
172,Deep_patience,178,345,167,3.61139,3.68357,19
173,Usman Abbas,180,1006,826,3.6114,3.69044,36
174,kwx,179,153,-26,3.6114,3.67577,122
175,Akvelon,181,825,644,3.61141,3.68773,87
176,Dane Chen,182,333,151,3.61144,3.68346,42
177,team sena,183,1149,966,3.61146,3.69173,34
178,aidsj,184,1245,1061,3.61148,3.69228,1
179,RustyB,185,450,265,3.61148,3.68633,64
180,Oniel Gracious,186,405,219,3.61149,3.68534,77
181,Emma Yu,187,406,219,3.6115,3.68539,55
182,AshishGupta,188,546,358,3.61153,3.68749,27
183,hiromu,190,352,162,3.61156,3.68369,115
184,TheDrH,189,888,699,3.61156,3.68836,25
185,Fredrik Jonsson,191,183,-8,3.61159,3.67767,130
186,sasakama,192,417,225,3.6116,3.68564,33
187,mingcai,193,471,278,3.61161,3.68662,86
188,Max Ryazantsev,194,552,358,3.61161,3.68757,52
189,usk,195,392,197,3.61162,3.68491,102
190,pinecone,196,98,-98,3.61163,3.67065,208
191,aggregates of aggregate,200,369,169,3.61164,3.68411,50
192,Zhenlin Liu,199,160,-39,3.61164,3.67631,16
193,Dondon2019,197,1502,1305,3.61164,3.69332,28
194,whitebird,198,1757,1559,3.61164,3.6964,7
195,Shubin,201,885,684,3.61167,3.68831,7
196,YUU,202,2020,1818,3.61168,3.69978,23
197,Boaz,203,384,181,3.61168,3.68447,74
198,Ryu Tomita,204,1086,882,3.61171,3.69145,5
199,star,205,254,49,3.61172,3.68136,97
200,This is jammu,206,35,-171,3.61177,3.66227,92
201,ww501,207,880,673,3.61179,3.68822,23
202,乌龟晒太阳,208,277,69,3.61179,3.68225,91
203,xiaofeng,209,500,291,3.6118,3.68709,24
204,3 Idiots,210,987,777,3.61181,3.69007,52
205,dmitrkozlovsk,211,1083,872,3.61182,3.69141,58
206,Mr Loke,213,358,145,3.61188,3.68382,117
207,yfSong,212,431,219,3.61188,3.68594,40
208,Cactaceae,214,481,267,3.61188,3.6868,5
209,EnzoAmpil,215,831,616,3.61189,3.68783,57
210,loveisp,216,501,285,3.61191,3.6871,4
211,Mathurin Aché,217,462,245,3.61192,3.6865,73
212,wmy_kaggle,218,504,286,3.61192,3.68712,11
213,Debuy,219,263,44,3.61193,3.68176,81
214,xihashenqi,220,265,45,3.61193,3.68186,14
215,hhiraguchi,221,189,-32,3.61197,3.6779,74
216,WhereIAm,222,249,27,3.612,3.68116,56
217,Konrad Banachewicz,223,914,691,3.61201,3.68881,48
218,dengvincent,224,889,665,3.61204,3.68838,19
219,AML Super Team,225,497,272,3.61205,3.68707,16
220,26th Feb,226,28,-198,3.61205,3.65861,353
221,HIMA,227,208,-19,3.61206,3.67903,91
222,ELO(utliers),228,381,153,3.61208,3.68439,130
223,cczhang,229,705,476,3.61208,3.68771,29
224,kiyomomo,230,484,254,3.6121,3.68683,88
225,adityasinha,232,455,223,3.61214,3.6864,22
226,Shinsei66,231,1448,1217,3.61214,3.69293,35
227,tamanyan,233,439,206,3.61217,3.68614,71
228,FoggyBottom_fresh,234,456,222,3.61218,3.68647,37
229,jet wei,235,486,251,3.61219,3.68688,25
230,Mengfei Li,236,443,207,3.6122,3.68621,31
231,He32123,237,506,269,3.61223,3.68713,7
232,Dean Bunce,238,962,724,3.61224,3.68968,19
233,yokotani,239,51,-188,3.61225,3.6654,236
234,Мамаев А.А.,240,394,154,3.61226,3.68495,39
235,K Vladimir,241,545,304,3.61227,3.68748,18
236,Manel,242,499,257,3.61229,3.68709,43
237,Icfstat - Extra Mile,243,58,-185,3.61229,3.66651,192
238,Computer says no,244,299,55,3.6123,3.68293,80
239,YUxiao1020,245,300,55,3.6123,3.68294,17
240,ise,246,875,629,3.61232,3.68815,20
241,JohnG,247,1041,794,3.61233,3.69084,35
242,I.O.,248,468,220,3.61235,3.68657,35
243,游走在放弃边缘的菜鸡,250,510,260,3.61238,3.6872,64
244,Prashant Kikani,249,502,253,3.61238,3.6871,38
245,NYC kagglers,251,509,258,3.61239,3.68718,44
246,hanzh0420,252,422,170,3.61239,3.68569,19
247,sheep,253,527,274,3.61242,3.6874,12
248,Botond Egri,254,386,132,3.61244,3.68466,14
249,stackers_228,255,841,586,3.61245,3.68791,38
250,Oscar Perez Raggio,256,461,205,3.61246,3.68649,55
251,Datalovitch,257,1300,1043,3.61248,3.69249,25
252,titericz,258,451,193,3.61248,3.68633,17
253,John Wilson,259,475,216,3.61249,3.68672,22
254,Paulo Pinto,260,483,223,3.6125,3.68681,51
255,Cshire,261,387,126,3.61251,3.68469,27
256,yohei,262,123,-139,3.61251,3.67338,132
257,Pavitrakumar P,263,435,172,3.61251,3.68606,22
258,AdW,264,298,34,3.61252,3.68293,59
259,Sergey Morzhov,265,477,212,3.61253,3.68677,14
260,Duo Cao,266,453,187,3.61255,3.68636,109
261,EgorKuznetsov,271,1641,1370,3.61256,3.69472,6
262,NV27,270,212,-58,3.61256,3.67928,76
263,kawaiy,267,428,161,3.61256,3.68589,120
264,Mohammed Tayor,268,557,289,3.61256,3.6876,30
265,kg21,269,295,26,3.61256,3.68287,60
266,Rohit Jain,272,438,166,3.61257,3.68612,91
267,David Wang,273,292,19,3.61257,3.68273,8
268,Thor,274,278,4,3.61257,3.68233,4
269,lazurite,275,948,673,3.61258,3.68952,3
270,XiaoYu,276,469,193,3.61259,3.68657,14
271,Vikas Pandey,277,516,239,3.61259,3.6873,3
272,Zee,278,421,143,3.6126,3.68568,59
273,面向年假编程,279,291,12,3.6126,3.68272,24
274,Shiro Kawakita,282,492,210,3.61261,3.68701,34
275,Anirudh Raghavan,280,507,227,3.61261,3.68714,111
276,eagle4,281,985,704,3.61261,3.69005,19
277,Max Karachun,283,981,698,3.61261,3.68997,59
278,k_k_k,284,924,640,3.61263,3.68906,34
279,Kamal Chhirang,286,532,246,3.61264,3.68741,23
280,Riccardo Nizzolo,285,526,241,3.61264,3.6874,6
281,pengfei123xiao,287,480,193,3.61265,3.6868,17
282,hiroa,288,872,584,3.61266,3.68808,6
283,Masaki Okauchi,289,970,681,3.61266,3.68982,89
284,guitar101,290,524,234,3.61267,3.68737,61
285,Fernando Carneiro,291,1639,1348,3.61267,3.69472,19
286,Y.midy,292,653,361,3.61267,3.68771,12
287,Isa K,293,1159,866,3.61268,3.69184,16
288,YF90,294,396,102,3.61268,3.68499,53
289,Duo Zeng,295,941,646,3.61269,3.68942,33
290,Keven Wang,296,1236,940,3.61269,3.69219,6
291,ilya,297,454,157,3.6127,3.68637,13
292,fgfdgdg,298,802,504,3.61272,3.68771,38
293,GautamBorgohain,299,251,-48,3.61272,3.68123,28
294,Reasontime,300,1980,1680,3.61274,3.69939,2
295,想喝奶茶,301,1982,1681,3.61274,3.69939,13
296,ywnwa,302,925,623,3.61275,3.68909,45
297,Saar Yalov,303,488,185,3.61276,3.68694,23
298,Kyle Peters,304,284,-20,3.61278,3.68246,82
299,DavidS,305,720,415,3.61279,3.68771,13
300,JM100,306,773,467,3.61279,3.68771,10
301,Vladislav Shakhray,307,478,171,3.6128,3.68677,5
302,Gltkn,308,1117,809,3.61282,3.69157,18
303,Soap,309,676,367,3.61283,3.68771,23
304,Ilu Data,310,531,221,3.61284,3.68741,4
305,birdMan,311,530,219,3.61284,3.68741,20
306,Will May,312,538,226,3.61284,3.68746,22
307,Grant,313,465,152,3.61285,3.68654,85
308,GoTo95,314,563,249,3.61286,3.68764,6
309,CyberCorgi,315,904,589,3.61286,3.68865,20
310,Eric Vos,316,560,244,3.61286,3.6876,9
311,Edric Franco,317,559,242,3.61286,3.6876,19
312,Jo-fai Chow,318,566,248,3.61287,3.68766,12
313,tong2016,319,1155,836,3.61287,3.69182,7
314,qi.zhang,321,905,584,3.61289,3.68866,18
315,Zhuzhen Dong,320,519,199,3.61289,3.68735,40
316,grantfrefg,322,489,167,3.6129,3.687,48
317,Jing,323,1817,1494,3.61291,3.69748,22
318,Rajanikant Tenguria,324,873,549,3.61291,3.68809,7
319,Alexey Shayakhov,325,745,420,3.61291,3.68771,9
320,Igor Samenko,326,318,-8,3.61292,3.68324,19
321,ys04,327,523,196,3.61293,3.68736,5
322,Matt Rose,328,517,189,3.61293,3.68734,4
323,Bojan Tunguz,329,146,-183,3.61294,3.67481,158
324,Ben Farcy,330,1822,1492,3.61296,3.69759,15
325,Stephen Foster,331,1500,1169,3.61297,3.6933,14
326,yukiya,332,340,8,3.61297,3.68357,18
327,yongjiekang,333,883,550,3.61301,3.68829,9
328,alexbarrow,334,984,650,3.61302,3.69001,54
329,maatkara,335,50,-285,3.61302,3.66524,45
330,A.Spct,336,495,159,3.61305,3.68704,46
331,pvp,337,525,188,3.61305,3.6874,18
332,ozlem,338,986,648,3.61306,3.69006,62
333,rauta,339,512,173,3.61307,3.68724,15
334,la_foca,340,328,-12,3.61307,3.68337,59
335,adrofa,341,1307,966,3.61308,3.69253,29
336,rowe,343,596,253,3.61309,3.68771,14
337,Helgi,344,544,200,3.6131,3.68748,23
338,James Requa,345,549,204,3.61313,3.68751,6
339,shunma37,346,674,328,3.61313,3.68771,11
340,lzwhite,347,1645,1298,3.61315,3.69485,4
341,Cookieblues,348,505,157,3.61316,3.68713,77
342,k1414,349,1413,1064,3.61318,3.69261,21
343,mmsstt,350,876,526,3.61318,3.68817,5
344,Marnix Koops,351,529,178,3.61318,3.68741,53
345,Onlise,352,67,-285,3.61319,3.66744,58
346,winkyWang,353,231,-122,3.6132,3.68043,5
347,Manuel Campos,354,37,-317,3.6132,3.66284,193
348,Luca Massaron,356,518,162,3.61322,3.68735,7
349,underfitters,355,522,167,3.61322,3.68736,16
350,yyll008,358,496,138,3.61323,3.68705,40
351,rc95401,357,508,151,3.61323,3.68716,11
352,Yutaka Sawai,359,547,188,3.61325,3.6875,40
353,大黑楼,360,548,188,3.61325,3.6875,61
354,currypurin,361,41,-320,3.61325,3.66369,77
355,milgam,362,1118,756,3.61326,3.69157,21
356,Peter Hurford,363,1157,794,3.61326,3.69183,43
357,Yuvraj,364,968,604,3.61327,3.68979,27
358,XuYang,365,136,-229,3.61327,3.67424,13
359,Sue Zhu,366,1670,1304,3.61328,3.69518,18
360,Nikita Okorokov,367,587,220,3.61329,3.68771,4
361,jeongyeon MOON,368,426,58,3.6133,3.68587,23
362,woshinibaba,369,1087,718,3.61331,3.69147,7
363,E_D_,370,1852,1482,3.61331,3.69808,26
364,Takafumi ITO,371,929,558,3.61331,3.68914,95
365,k_kjm,372,565,193,3.61332,3.68765,34
366,hiroki,373,490,117,3.61334,3.687,26
367,team111,374,1049,675,3.61334,3.69092,4
368,differentialmind,376,564,188,3.61337,3.68765,26
369,Ashish Gupta,375,533,158,3.61337,3.68742,129
370,keineAhnung,377,780,403,3.61338,3.68771,42
371,jj,378,1766,1388,3.61338,3.69666,5
372,LCNi,379,610,231,3.61338,3.68771,30
373,HuangXun,380,972,592,3.61338,3.68987,16
374,tanxiaofeng,381,1032,651,3.61339,3.69074,33
375,gnevans,382,1847,1465,3.61339,3.69804,3
376,Igor Popovic,383,379,-4,3.61339,3.68435,22
377,DS for Kagglers,384,332,-52,3.61341,3.68344,137
378,Yukou Takahashi,385,656,271,3.61343,3.68771,9
379,init27,386,534,148,3.61344,3.68744,10
380,Shaggy Rogers Says Hi,387,669,282,3.61346,3.68771,17
381,Amit Kumar Jaiswal,388,842,454,3.61346,3.68791,11
382,xinc,389,650,261,3.61348,3.68771,9
383,ManhNgo,390,822,432,3.61348,3.68772,18
384,Alimbekov Renat [dsmlkz],393,550,157,3.61349,3.68754,54
385,copasta,392,459,67,3.61349,3.68649,124
386,Kei,391,400,9,3.61349,3.68513,14
387,monsaraida,394,824,430,3.61351,3.68773,14
388,kzhh,395,2003,1608,3.61356,3.69958,9
389,Kaggle_Mini_Skirt,396,1830,1434,3.61358,3.69777,7
390,Nuno Ferreira,397,466,69,3.61358,3.68655,18
391,Ambitious,398,961,563,3.61359,3.68967,13
392,william007,399,1242,843,3.61359,3.69225,2
393,Syhens,400,1009,609,3.61361,3.69049,12
394,Omar Saleem,401,556,155,3.61361,3.6876,12
395,Nefsi,402,850,448,3.61362,3.68799,9
396,NoFreeBreakfast,403,585,182,3.61362,3.68771,44
397,guchio3,404,811,407,3.61363,3.68771,19
398,DineshKesaboina,405,895,490,3.61363,3.6885,2
399,Brian Jung,406,1789,1383,3.61365,3.69705,7
400,Dimitris Leventis,407,892,485,3.61365,3.68843,6
401,goku,410,896,486,3.61367,3.68853,23
402,CopTrna,409,1063,654,3.61367,3.6911,50
403,horohoro,408,479,71,3.61367,3.68678,81
404,!?,411,161,-250,3.61368,3.67631,247
405,sanjeeva kumar,412,118,-294,3.61369,3.67272,219
406,Renan Moura,413,1415,1002,3.6137,3.69263,40
407,Wojtek Rosinski,414,921,507,3.61371,3.68902,3
408,SGB1710,415,638,223,3.61371,3.68771,26
409,tripleh,419,692,273,3.61372,3.68771,9
410,mle,418,627,209,3.61372,3.68771,9
411,xp2017,416,915,499,3.61372,3.68881,35
412,hamid haghshenas,417,389,-28,3.61372,3.6848,14
413,David Luo,420,520,100,3.61373,3.68736,60
414,Dimitrios Effrosynidis,421,445,24,3.61374,3.68627,140
415,Shengrong Li,422,894,472,3.61374,3.68847,19
416,TensorFrozen,423,539,116,3.61374,3.68747,26
417,hwuan,424,765,341,3.61374,3.68771,51
418,Tyler Harmon,425,399,-26,3.61375,3.68508,45
419,Kazumi Sakamoto,426,910,484,3.61375,3.68873,33
420,hushen,427,764,337,3.61376,3.68771,7
421,nr10rd,428,1650,1222,3.61377,3.69496,27
422,Panjtan,429,494,65,3.61377,3.68702,17
423,Abolfazl,430,828,398,3.61377,3.68781,20
424,Patrick DeKelly,431,423,-8,3.61378,3.68579,11
425,[ods.ai] Crowd,432,731,299,3.61378,3.68771,51
426,koji04,433,785,352,3.61379,3.68771,12
427,Kishore M,434,821,387,3.61379,3.68772,22
428,LSU,435,618,183,3.61379,3.68771,17
429,Kevin Tang,436,1164,728,3.61379,3.69191,5
430,keihamada,442,944,502,3.6138,3.68945,27
431,Claire Young,440,222,-218,3.6138,3.68006,83
432,Zhengzong,441,1557,1116,3.6138,3.69377,34
433,Pan Tofelek,438,581,143,3.6138,3.68771,11
434,tarunnewton,437,337,-100,3.6138,3.68357,11
435,Daniel Lerch,439,312,-127,3.6138,3.68316,33
436,Bibin Paul,444,573,129,3.61381,3.6877,11
437,smota,445,572,127,3.61381,3.6877,45
438,Alexander Zinovev,446,576,130,3.61381,3.6877,9
439,"Yu,Hai (于海)",447,569,122,3.61381,3.6877,20
440,DL,448,725,277,3.61382,3.68771,27
441,jazivxt,449,827,378,3.61382,3.68777,31
442,summershenshen,458,682,224,3.61383,3.68771,13
443,大衛,462,835,373,3.61383,3.68783,11
444,110th St.,461,1047,586,3.61383,3.69091,80
445,outrunner,460,903,443,3.61383,3.68865,12
446,HDKIM,459,832,373,3.61383,3.68783,21
447,Masato,456,570,114,3.61383,3.6877,5
448,dan musetoiu,457,726,269,3.61383,3.68771,15
449,csk,454,577,123,3.61383,3.6877,30
450,NikhilMishra,453,833,380,3.61383,3.68783,5
451,coder,452,709,257,3.61383,3.68771,19
452,Dromosys,451,792,341,3.61383,3.68771,8
453,Trương Thái Hưng,450,694,244,3.61383,3.68771,17
454,Edmon,455,796,341,3.61383,3.68771,3
455,xaphoon,598,648,50,3.61385,3.68771,23
456,Aman.cyberia,606,747,141,3.61385,3.68771,7
457,prascosoc,605,590,-15,3.61385,3.68771,3
458,kztech,604,730,126,3.61385,3.68771,22
459,DrHB,601,816,215,3.61385,3.68771,7
460,lixinjuan,602,617,15,3.61385,3.68771,15
461,Forever AI,607,810,203,3.61385,3.68771,30
462,zhexuan,600,339,-261,3.61385,3.68357,41
463,Saurabh Kumar,599,346,-253,3.61385,3.68357,17
464,Akash Sebastian,603,737,134,3.61385,3.68771,5
465,Arun,608,729,121,3.61385,3.68771,3
466,行走的蔬菜,612,664,52,3.61385,3.68771,24
467,sibmike,610,675,65,3.61385,3.68771,3
468,Scottfree,611,603,-8,3.61385,3.68771,37
469,Anton Chikin,613,754,141,3.61385,3.68771,2
470,uratah,614,639,25,3.61385,3.68771,37
471,RahulBamola,615,593,-22,3.61385,3.68771,53
472,k_sato,616,790,174,3.61385,3.68771,19
473,SaoManu,617,600,-17,3.61385,3.68771,26
474,shejz,618,540,-78,3.61385,3.68747,5
475,aaaa,619,735,116,3.61385,3.68771,32
476,williw11,620,647,27,3.61385,3.68771,17
477,Nazuna715,609,606,-3,3.61385,3.68771,36
478,Uno_Wish,597,651,54,3.61385,3.68771,14
479,ratan rohith,579,436,-143,3.61385,3.68607,14
480,MaheshKulkarni,595,621,26,3.61385,3.68771,38
481,CSML-Team-1,571,710,139,3.61385,3.68771,12
482,DataAvengers,572,717,145,3.61385,3.68771,20
483,Igor Soldatov,573,766,193,3.61385,3.68771,18
484,kojimar,574,786,212,3.61385,3.68771,17
485,Ayman Khalafallah,575,727,152,3.61385,3.68771,4
486,Data Craze,576,716,140,3.61385,3.68771,2
487,Gautam,577,805,228,3.61385,3.68771,8
488,zspo,578,338,-240,3.61385,3.68357,11
489,WilhelmWedernikow,621,646,25,3.61385,3.68771,6
490,Niranjan Nakkala,580,586,6,3.61385,3.68771,7
491,qhd0081,581,592,11,3.61385,3.68771,11
492,Ching-Loong Seow,582,708,126,3.61385,3.68771,7
493,Pratik Gupta,583,604,21,3.61385,3.68771,5
494,Wei Xie,584,645,61,3.61385,3.68771,25
495,kokoro higuchi,586,787,201,3.61385,3.68771,12
496,Sujeeth S,587,681,94,3.61385,3.68771,2
497,Spartan,588,678,90,3.61385,3.68771,3
498,Arthur Kipel,589,756,167,3.61385,3.68771,23
499,Dmitrij Kozachuk,590,757,167,3.61385,3.68771,2
500,Sergey Enikeev,591,636,45,3.61385,3.68771,21
501,HROlive,592,762,170,3.61385,3.68771,21
502,Sergeeva Sofiya,593,608,15,3.61385,3.68771,8
503,YuLong,594,657,63,3.61385,3.68771,5
504,DSEverything,596,793,197,3.61385,3.68771,6
505,AlejandroCoronado,622,739,117,3.61385,3.68771,9
506,vrana95,639,644,5,3.61385,3.68771,1
507,PaulSave,624,580,-44,3.61385,3.68771,50
